; ： ；
;a ！
;b 》
;c ”
;d 、
;e （
;g 《
;h 《》
;i 〈
;j “”
;k （）
;l —
;m 〔〕
;o 〉
;p ～
;q ：“
;r ）
;s ……
;t @
;v ——
;w ？
;x →
;y ·
;z “
a 啊 按
aa 阿
aab 阿爸
aaba 阿爸
aabo 阿伯
aad 嗷嗷待哺
aadb 嗷嗷待哺
aae 阿
aaek 阿
aag 阿哥
aage 阿哥
aags 阿公
aah 啊哈
aaha 啊哈
aahs 阿訇
aai 暗暗称奇
aaiq 暗暗称奇
aaj 锕
aajj 安安静静
aajk 锕
aajp 阿姐
aak 吖
aakk 啊
aakw 嗄
aaky 吖
aal 阿拉
aala 阿拉
aam 阿妹
aama 阿妈
aamf 阿门
aamj 阿曼
aamw 阿妹
aao 腌
aaod 腌
aap 阿婆
aapo 阿婆
aapp 矮矮胖胖
aaq 安安全全
aaqq 安安全全
aat 阿嚏
aati 阿嚏
aav AA制
aavi AA制
aaw 安安稳稳
aaww 安安稳稳
aax 安安心心
aaxx 安安心心
aay 阿姨
aaya 啊呀
aayi 阿姨
aayo 啊哟
aaz 腌臜
aaza 腌臜
ab 安保
aba 爱不爱
abai 爱不爱
abb 按兵不动
abbd 按兵不动
abbu 哀兵必胜
abd 安邦定国
abdg 安邦定国
abdi 安步当车
abdy 阿鼻地狱
abg 熬不过
abgo 熬不过
abgq 熬不过去
abh 阿布哈兹
abhz 阿布哈兹
abj 矮半截
abjb 按部就班
abjp 矮半截
abl 阿波罗
abla 埃博拉
ablk 爱别离苦
ablm 鞍不离马
ablo 阿波罗
abu 爱不释手
abuu 爱不释手
abv 熬不住
abvb 阿布扎比
abvu 熬不住
ac 按错
acl 按错了
acle 按错了
acr 爱才若渴
acrk 爱才若渴
acrm 爱财如命
acu 暗藏杀机
acuj 暗藏杀机
acx 暗藏玄机
acxj 暗藏玄机
ad 安定
adb 爱答不理
adbl 爱答不理
ade 安道尔
ader 安道尔
adi 暗渡陈仓
adic 暗渡陈仓
adl 按道理
adli 奥地利
adly 澳大利亚
adw 黯淡无光
adwg 黯淡无光
adwn 安度晚年
ae 挨饿
aeb 阿尔卑斯
aebs 阿尔卑斯
aebu 哀而不伤
aeby 阿尔巴尼亚
aef 阿尔法
aefa 阿尔法
aej 阿尔及利亚
aeje 阿尔及尔
aejy 阿尔及利亚
ael 爱尔兰
aelj 爱尔兰
af 安分
afa 安抚安抚
afaf 安抚安抚
afe 埃菲尔铁塔
afet 埃菲尔铁塔
afh 阿富汗
afhj 阿富汗
aft 阿凡提
afti 阿凡提
afu 安分守己
afuj 安分守己
ag 昂贵
agj 爱岗敬业
agjy 爱岗敬业
agl 安哥拉
agla 安哥拉
agt 阿根廷
agtk 阿根廷
agu 熬更守夜
aguy 熬更守夜
agv 爱国者
agve 爱国者
agvx 爱国之心
agvy 爱国主义
ah 昂
ahb 哀鸿遍野
ahby 哀鸿遍野
ahg 昂贵
ahgv 昂贵
ahj 爱恨交织
ahjv 爱恨交织
aho 肮
ahoe 昂
ahoj 肮
ahp 卬
ahpe 卬
ahq 昂起
ahqi 昂起 爱恨情仇
ahr 盎然
ahri 安好如初
ahrj 盎然
ahs 盎司
ahsi 盎司
ahu 安徽省
ahug 安徽省
ahuz 昂首
ahv 爱好者
ahve 爱好者
ahy 盎
ahyh 昂扬
ahym 盎
ahz 肮脏
ahzh 肮脏
ai 爱
aia 矮矮
aiai 矮矮
aib 癌
aibe 癌
aibj 皑
aibm 癌变
aic 艾
aicd 爱才
aicv 蔼
aicx 艾
aid 挨打
aida 挨打
aidc 哀悼
aidd 爱戴
aie 隘
aiee 挨饿
aiem 隘
aiey 叆
aif 挨
aifa 挨罚
aift 捱
aifu 爱抚
aifw 爱妃
aig 爱国
aigc 哀告
aige 挨个
aigh 爱岗
aigo 爱国
aih 爱好
aihc 爱好
aihe 爱河
aihf 爱恨
aiho 爱火
aihu 爱护
aii 哀愁
aiic 爱巢
aiig 爱称
aiii 爱吃
aiiz 哀愁
aij 锿
aijb 挨近
aiji 埃及
aijl 爱将
aijq 艾灸
aijy 锿
aik 唉
aikj 爱看
aikm 嗌
aiku 爱哭
aikx 哎
aiky 嗳
aikz 隘口
ail 按常理
aile 矮了
aili 按常理
ailm 爱恋
ailu 按常理来说
ailv 爱侣
aim 爱慕
aima 挨骂
aimb 爱民
aimk 哀鸣
aimu 爱慕
aimw 暧昧
ain 嫒
aini 爱你
ainy 嫒
aio 暧
aioy 暧
aip 爱
aiph 矮胖
aipy 爱
aiq 爱情
aiqk 爱情
aiql 矮墙
aiqp 哀切
aiqq 哀求
air 爱人
airf 爱人
ais 欸
aisi 哀思
aisr 欸
ait 埃
aiti 挨踢
aitj 哀叹
aitk 爱听
aits 哀痛
aitu 埃
aiu 矮
aiua 毐
aiuc 碍
aiuf 爱神
aiuh 爱上
aiui 碍事
aiun 矮
aiuw 毐
aiux 砹
aiuz 碍手
aiv 挨着
aive 挨着
aivg 癌症
aiw 哀
aiwj 爱玩
aiwy 瑷
aix 爱心
aixb 爱心
aixi 爱惜
aixn 矮小
aixy 暗潮汹涌
aiy 霭
aiya 哎呀
aiye 艾叶
aiyi 爱意
aiyj 碍眼
aiyo 哎哟
aiyr 哀怨
aiys 爱用
aiyt 哀乐
aiyu 碍于
aiyv 霭
aiz 矮子
aizd 挨宰
aizg 爱憎
aizi 矮子
aizu 阿昌族
aizz 挨揍
aj 安静
aja 安静安静
ajah 挨家挨户
ajaj 安静安静
ajc 挨肩擦背
ajcb 挨肩擦背
ajl 安静了
ajle 安静了
ajlh 安家落户
ajly 安居乐业
ajm 阿基米德
ajmd 阿基米德
ajn 暗箭难防
ajnf 暗箭难防
ajs 氨基酸
ajsr 氨基酸
aju 暗箭伤人
ajur 暗箭伤人
ak 拗口
akb 爱看不看
akbk 爱看不看
al 按理
alb 阿拉伯
alba 阿鲁巴
albb 阿里巴巴
albg 阿拉伯联合酋长国
albl 爱理不理
albo 阿拉伯
albz 阿拉伯数字
ald 阿拉丁
aldk 阿拉丁
alf 按劳分配
alfp 按劳分配
alh 安理会
alhv 安理会
all 按理来说
allu 按理来说
alp 奥林匹克
alpk 奥林匹克
alq 阿联酋
alqi 按劳取酬
alqq 阿联酋
als 安乐死
alsi 安乐死
alu 按理说
aluj 阿里山
aluo 按理说
alw 安乐窝
alwo 安乐窝
aly 暗流涌动
alyd 暗流涌动
am 暧昧
ama 按摩按摩
amag 阿猫阿狗
amam 按摩按摩
amd 哀莫大于心死
amds 哀莫大于心死
aml 鞍马劳顿
amld 鞍马劳顿
amn 爱莫能助
amnv 爱莫能助
amr 爱民如子
